État,Nombre_Prêts,Montant_Total,Taux_Intérêt_Moyen,Défauts,Taux_Défaut,Revenu_Moyen
CA,68538,1066372600.0,12.43,0,0.0,83070.0
TX,41158,665854500.0,12.52,0,0.0,82494.0
NY,40292,612889675.0,12.63,0,0.0,81029.0
FL,35103,513813375.0,12.64,0,0.0,72766.0
IL,19929,316377850.0,12.42,0,0.0,78920.0
NJ,18016,291903775.0,12.32,0,0.0,87741.0
PA,17442,264672550.0,12.71,0,0.0,73888.0
GA,16708,261071325.0,12.7,0,0.0,76352.0
OH,16970,251209625.0,12.65,0,0.0,68447.0
VA,14055,230094475.0,12.54,0,0.0,84282.0
NC,14277,217971150.0,12.71,0,0.0,73546.0
MI,13455,197110075.0,12.62,0,0.0,71040.0
MD,11970,192959475.0,12.66,0,0.0,84759.0
MA,11297,180927775.0,12.0,0,0.0,82237.0
AZ,11544,171221925.0,12.47,0,0.0,73037.0
CO,10892,169153350.0,12.41,0,0.0,76581.0
WA,10602,165542925.0,12.73,0,0.0,75944.0
MN,9164,137668375.0,12.5,0,0.0,72061.0
IN,8707,128501425.0,12.73,0,0.0,68860.0
TN,8263,124815900.0,12.85,0,0.0,69671.0
CT,7592,120494125.0,12.41,0,0.0,87894.0
MO,7955,119883350.0,12.63,0,0.0,69970.0
NV,7141,102965350.0,12.79,0,0.0,71661.0
WI,6700,98632850.0,12.28,0,0.0,67839.0
AL,6263,94858700.0,13.14,0,0.0,70162.0
SC,6136,93885025.0,12.9,0,0.0,73801.0
LA,5948,90941475.0,12.71,0,0.0,75418.0
OR,5925,84810100.0,12.5,0,0.0,67281.0
OK,4685,72752550.0,12.92,0,0.0,72686.0
KY,4857,71243425.0,12.67,0,0.0,68096.0
KS,4346,66698325.0,12.63,0,0.0,70890.0
AR,3738,54594050.0,12.98,0,0.0,66841.0
UT,3344,50924075.0,12.7,0,0.0,72518.0
MS,3108,46592825.0,13.16,0,0.0,68422.0
NM,2759,41857600.0,12.7,0,0.0,71402.0
HI,2406,38321950.0,13.22,0,0.0,72660.0
WV,2461,37502175.0,12.59,0,0.0,69679.0
NH,2465,37496075.0,12.05,0,0.0,80105.0
RI,2170,31847300.0,12.43,0,0.0,73563.0
NE,1556,22744125.0,12.88,0,0.0,63841.0
DE,1454,22071025.0,12.79,0,0.0,76050.0
AK,1174,20745500.0,12.78,0,0.0,79682.0
MT,1400,19968225.0,12.38,0,0.0,64205.0
DC,1147,18465700.0,12.11,0,0.0,91514.0
WY,1091,16796625.0,12.54,0,0.0,79462.0
VT,1092,15888125.0,12.38,0,0.0,66175.0
SD,1003,14506550.0,12.75,0,0.0,65757.0
ME,770,11904375.0,12.33,0,0.0,65055.0
ND,654,10442175.0,12.78,0,0.0,72443.0
ID,278,4509425.0,12.72,0,0.0,66754.0
